sid,cid,sidsrcname,sidextid,subssynonym,sidmdate,depdate,depcatg,annotation,smiles
363897991,5280863,Chemical Carcinogenesis Research Information System (CCRIS),520-18-3,kaempferol,20210804,20180514,Governmental Organizations|Legacy Depositors,,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O
363897992,38052,Chemical Carcinogenesis Research Information System (CCRIS),38514-71-5,ANFT,20210804,20180514,Governmental Organizations|Legacy Depositors,,C1=C(OC(=C1)[N+](=O)[O-])C2=CSC(=N2)N
363897993,7541,Chemical Carcinogenesis Research Information System (CCRIS),101-05-3,Anilazine,20210804,20180514,Governmental Organizations|Legacy Depositors,,C1=CC=C(C(=C1)NC2=NC(=NC(=N2)Cl)Cl)Cl
363897994,6115,Chemical Carcinogenesis Research Information System (CCRIS),62-53-3,ANILINE,20210804,20180514,Governmental Organizations|Legacy Depositors,,C1=CC=C(C=C1)N
363897995,8870,Chemical Carcinogenesis Research Information System (CCRIS),142-04-1,ANILINE HYDROCHLORIDE,20210804,20180514,Governmental Organizations|Legacy Depositors,,C1=CC=C(C=C1)N.Cl
363897996,8638,Chemical Carcinogenesis Research Information System (CCRIS),134-29-2,O-ANISIDINE HYDROCHLORIDE,20210804,20180514,Governmental Organizations|Legacy Depositors,,COC1=CC=CC=C1N.Cl
363897997,2734956,Chemical Carcinogenesis Research Information System (CCRIS),20265-97-8,p-Anisidine hydrochloride,20210804,20180514,Governmental Organizations|Legacy Depositors,,COC1=CC=C(C=C1)N.Cl
363897998,9118,Chemical Carcinogenesis Research Information System (CCRIS),191-26-4,Anthanthrene,20210804,20180514,Governmental Organizations|Legacy Depositors,,C1=CC2=C3C(=C1)C=C4C=CC5=C6C4=C3C(=CC6=CC=C5)C=C2
363897999,227,Chemical Carcinogenesis Research Information System (CCRIS),118-92-3,anthranilic acid,20210804,20180514,Governmental Organizations|Legacy Depositors,,C1=CC=C(C(=C1)C(=O)O)N
363898000,24666,Chemical Carcinogenesis Research Information System (CCRIS),8003-03-0,8003-03-0,20210804,20180514,Governmental Organizations|Legacy Depositors,,CCOC1=CC=C(C=C1)NC(=O)C.CC(=O)OC1=CC=CC=C1C(=O)O.CN1C=NC2=C1C(=O)N(C(=O)N2C)C
363898001,8809,Chemical Carcinogenesis Research Information System (CCRIS),140-57-8,ARAMITE,20210804,20180514,Governmental Organizations|Legacy Depositors,,CC(COC1=CC=C(C=C1)C(C)(C)C)OS(=O)OCCCl
363898002,56841539,Chemical Carcinogenesis Research Information System (CCRIS),67123-64-2,Aristolochic acids,20210804,20180514,Governmental Organizations|Legacy Depositors,,COC1=CC=CC2=C3C(=C(C=C21)[N+](=O)[O-])C(=CC4=C3OCO4)C(=O)O.COC1=CC=CC2=C3C(=C(C=C21)[N+](=O)[O-])C(=CC4=C3OCO4)C(=O)O.C1OC2=C(O1)C3=C(C(=C2)C(=O)O)C(=CC4=CC=CC=C43)[N+](=O)[O-]
363898003,6433340,Chemical Carcinogenesis Research Information System (CCRIS),2608-48-2,"5-(4-Nitrophenyl)-2,4-pentadienal",20210804,20180514,Governmental Organizations|Legacy Depositors,,C1=CC(=CC=C1/C=C\C=C\C=O)[N+](=O)[O-]
363898004,4909,Chemical Carcinogenesis Research Information System (CCRIS),125-33-7,primidone,20210804,20180514,Governmental Organizations|Legacy Depositors,,CCC1(C(=O)NCNC1=O)C2=CC=CC=C2
363898005,5359596,Chemical Carcinogenesis Research Information System (CCRIS),7440-38-2,Arsenic compounds,20210804,20180514,Governmental Organizations|Legacy Depositors,,[As]
363898006,,Chemical Carcinogenesis Research Information System (CCRIS),1332-21-4,ASBESTOS,20180514,20180514,Governmental Organizations|Legacy Depositors,,Nan
363898007,54670067,Chemical Carcinogenesis Research Information System (CCRIS),50-81-7,vitamin C,20190211,20180514,Governmental Organizations|Legacy Depositors,,C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O
363898008,10298,Chemical Carcinogenesis Research Information System (CCRIS),492-80-8,AURAMINE,20210804,20180514,Governmental Organizations|Legacy Depositors,,CN(C)C1=CC=C(C=C1)C(=N)C2=CC=C(C=C2)N(C)C
363898009,,Chemical Carcinogenesis Research Information System (CCRIS),12192-57-3,AUROTHIOGLUCOSE,20180514,20180514,Governmental Organizations|Legacy Depositors,,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)[S-])O)O)O)O.[Au+]
363898010,9444,Chemical Carcinogenesis Research Information System (CCRIS),320-67-2,5-azacytidine,20210804,20180514,Governmental Organizations|Legacy Depositors,,C1=NC(=NC(=O)N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)N
363898011,460129,Chemical Carcinogenesis Research Information System (CCRIS),115-02-6,azaserine,20210804,20180514,Governmental Organizations|Legacy Depositors,,C([C@@H](C(=O)O)N)OC(=O)C=[N+]=[N-]
363898012,2265,Chemical Carcinogenesis Research Information System (CCRIS),446-86-6,azathioprine,20210804,20180514,Governmental Organizations|Legacy Depositors,,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-]
363898013,2268,Chemical Carcinogenesis Research Information System (CCRIS),86-50-0,Azinphosmethyl,20190211,20180514,Governmental Organizations|Legacy Depositors,,COP(=S)(OC)SCN1C(=O)C2=CC=CC=C2N=N1
363898014,61215,Chemical Carcinogenesis Research Information System (CCRIS),800-24-8,AZIRIDYL BENZOQUINONE,20210804,20180514,Governmental Organizations|Legacy Depositors,,COCCOC1=C(C(=O)C(=C(C1=O)N2CC2)OCCOC)N3CC3
363898015,2272,Chemical Carcinogenesis Research Information System (CCRIS),103-33-3,azobenzene,20210804,20180514,Governmental Organizations|Legacy Depositors,,C1=CC=C(C=C1)N=NC2=CC=CC=C2
363898016,519246,Chemical Carcinogenesis Research Information System (CCRIS),16301-26-1,AZOXYETHANE,20210804,20180514,Governmental Organizations|Legacy Depositors,,CCN=[N+](CC)[O-]
363898017,33184,Chemical Carcinogenesis Research Information System (CCRIS),25843-45-2,AZOXYMETHANE,20210804,20180514,Governmental Organizations|Legacy Depositors,,CN=[N+](C)[O-]
363898018,5284406,Chemical Carcinogenesis Research Information System (CCRIS),1335-32-6,LEAD SUBACETATE,20210804,20180514,Governmental Organizations|Legacy Depositors,,CC(=O)[O-].CC(=O)[O-].[OH-].[OH-].[OH-].[OH-].[Pb+2].[Pb+2].[Pb+2]
363898019,5954,Chemical Carcinogenesis Research Information System (CCRIS),56-55-3,Benz[a]anthracene,20210804,20180514,Governmental Organizations|Legacy Depositors,,C1=CC=C2C(=C1)C=CC3=CC4=CC=CC=C4C=C32
363898020,241,Chemical Carcinogenesis Research Information System (CCRIS),71-43-2,benzene,20210804,20180514,Governmental Organizations|Legacy Depositors,,C1=CC=CC=C1
363898021,7111,Chemical Carcinogenesis Research Information System (CCRIS),92-87-5,BENZIDINE,20210804,20180514,Governmental Organizations|Legacy Depositors,,C1=CC(=CC=C1C2=CC=C(C=C2)N)N
363898022,9153,Chemical Carcinogenesis Research Information System (CCRIS),205-99-2,Benzo[b]fluoranthene,20210804,20180514,Governmental Organizations|Legacy Depositors,,C1=CC=C2C3=C4C(=CC=C3)C5=CC=CC=C5C4=CC2=C1
363898023,9152,Chemical Carcinogenesis Research Information System (CCRIS),205-82-3,Benzo[j]fluoranthene,20210804,20180514,Governmental Organizations|Legacy Depositors,,C1=CC=C2C(=C1)C=CC3=C2C4=CC=CC5=C4C3=CC=C5
363898024,9158,Chemical Carcinogenesis Research Information System (CCRIS),207-08-9,Benzo[k]fluoranthene,20210804,20180514,Governmental Organizations|Legacy Depositors,,C1=CC=C2C=C3C4=CC=CC5=C4C(=CC=C5)C3=CC2=C1
363898025,8400,Chemical Carcinogenesis Research Information System (CCRIS),119-53-9,BENZOIN,20210804,20180514,Governmental Organizations|Legacy Depositors,,C1=CC=C(C=C1)C(C(=O)C2=CC=CC=C2)O
363898026,2336,Chemical Carcinogenesis Research Information System (CCRIS),50-32-8,benzo[a]pyrene,20190211,20180514,Governmental Organizations|Legacy Depositors,,C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC=C5)C=C3
363898027,104853,Chemical Carcinogenesis Research Information System (CCRIS),61443-57-0,"(+/-)-TRANS-7,8-DIHYDROBENZO[A]PYRENE-7,8-DIOL",20210804,20180514,Governmental Organizations|Legacy Depositors,,C1=CC2=C3C(=C1)C=CC4=C3C(=CC5=C4C=C[C@@H]([C@H]5O)O)C=C2
363898028,7220,Chemical Carcinogenesis Research Information System (CCRIS),95-14-7,1H-Benzotriazole,20210804,20180514,Governmental Organizations|Legacy Depositors,,C1=CC2=NNN=C2C=C1
363898029,7503,Chemical Carcinogenesis Research Information System (CCRIS),100-44-7,BENZYL CHLORIDE,20210804,20180514,Governmental Organizations|Legacy Depositors,,C1=CC=C(C=C1)CCl
363898030,23691992,Chemical Carcinogenesis Research Information System (CCRIS),1694-09-3,Benzyl Violet 4B,20210804,20180514,Governmental Organizations|Legacy Depositors,,CCN(CC1=CC(=CC=C1)S(=O)(=O)[O-])C2=CC=C(C=C2)C(=C3C=CC(=[N+](C)C)C=C3)C4=CC=C(C=C4)N(CC)CC5=CC(=CC=C5)S(=O)(=O)[O-].[Na+]
363898031,5460467,Chemical Carcinogenesis Research Information System (CCRIS),7440-41-7,BERYLLIUM,20210804,20180514,Governmental Organizations|Legacy Depositors,,[Be]
363898032,61577,Chemical Carcinogenesis Research Information System (CCRIS),13106-47-3,Beryllium carbonate,20210804,20180514,Governmental Organizations|Legacy Depositors,,[Be+2].C(=O)([O-])[O-]
363898033,14775,Chemical Carcinogenesis Research Information System (CCRIS),1304-56-9,BERYLLIUM OXIDE,20210804,20180514,Governmental Organizations|Legacy Depositors,,[Be]=O
363898034,26077,Chemical Carcinogenesis Research Information System (CCRIS),13510-49-1,Beryllium sulfate,20210804,20180514,Governmental Organizations|Legacy Depositors,,[Be+2].[O-]S(=O)(=O)[O-]
363898035,62672,Chemical Carcinogenesis Research Information System (CCRIS),7787-56-6,BERYLLIUM SULFATE TETRAHYDRATE,20210804,20180514,Governmental Organizations|Legacy Depositors,,[Be+2].O.O.O.O.[O-]S(=O)(=O)[O-]
363898036,14767,Chemical Carcinogenesis Research Information System (CCRIS),1302-52-9,Beryl ore,20210804,20180514,Governmental Organizations|Legacy Depositors,,[Be+2].[Be+2].[Be+2].[O-][Si](=O)[O-].[O-][Si](=O)[O-].[O-][Si](=O)[O-].[O-][Si](=O)[O-].[O-][Si](=O)[O-].[O-][Si](=O)[O-].[Al+3].[Al+3]
363898037,62432,Chemical Carcinogenesis Research Information System (CCRIS),2168-68-5,Bis(1-aziridinyl)morpholinophosphine sulfide,20210804,20180514,Governmental Organizations|Legacy Depositors,,C1CN1P(=S)(N2CC2)N3CCOCC3
363898038,8115,Chemical Carcinogenesis Research Information System (CCRIS),111-44-4,BIS(2-CHLOROETHYL) ETHER,20210804,20180514,Governmental Organizations|Legacy Depositors,,C(CCl)OCCCl
363898039,10307,Chemical Carcinogenesis Research Information System (CCRIS),494-03-1,"N,N-Bis(2-chloroethyl)-2-naphthylamine",20210804,20180514,Governmental Organizations|Legacy Depositors,,C1=CC=C2C=C(C=CC2=C1)N(CCCl)CCCl
363898040,10967,Chemical Carcinogenesis Research Information System (CCRIS),542-88-1,BIS(CHLOROMETHYL) ETHER,20210804,20180514,Governmental Organizations|Legacy Depositors,,C(OCCl)Cl
363898041,7944,Chemical Carcinogenesis Research Information System (CCRIS),108-60-1,BIS(2-CHLORO-1-METHYLETHYL) ETHER,20210804,20180514,Governmental Organizations|Legacy Depositors,,CC(CCl)OC(C)CCl
363898042,27423,Chemical Carcinogenesis Research Information System (CCRIS),15625-89-5,TRIMETHYLOLPROPANE TRIACRYLATE,20210804,20180514,Governmental Organizations|Legacy Depositors,,CCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C
363898043,47751,Chemical Carcinogenesis Research Information System (CCRIS),65886-71-7,5-Azacytosine arabinoside,20210804,20180514,Governmental Organizations|Legacy Depositors,,C1=NC(=NC(=O)N1[C@H]2[C@H]([C@@H]([C@H](O2)CO)O)O)N
363898044,23662398,Chemical Carcinogenesis Research Information System (CCRIS),23746-34-1,23746-34-1,20210804,20180514,Governmental Organizations|Legacy Depositors,,C(CO)N(CCO)C(=S)[S-].[K+]
363898045,6623,Chemical Carcinogenesis Research Information System (CCRIS),80-05-7,Bisphenol A,20210804,20180514,Governmental Organizations|Legacy Depositors,,CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O
363898046,8507,Chemical Carcinogenesis Research Information System (CCRIS),129-17-9,Blue VRS,20210804,20180514,Governmental Organizations|Legacy Depositors,,CCN(CC)C1=CC=C(C=C1)C(=C2C=CC(=[N+](CC)CC)C=C2)C3=C(C=C(C=C3)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+]
363898047,19700,Chemical Carcinogenesis Research Information System (CCRIS),3844-45-9,3844-45-9,20210804,20180514,Governmental Organizations|Legacy Depositors,,CCN(CC1=CC(=CC=C1)S(=O)(=O)[O-])C2=CC=C(C=C2)C(=C3C=CC(=[N+](CC)CC4=CC(=CC=C4)S(=O)(=O)[O-])C=C3)C5=CC=CC=C5S(=O)(=O)[O-].[Na+].[Na+]
363898048,5558,Chemical Carcinogenesis Research Information System (CCRIS),75-25-2,Bromoform,20210804,20180514,Governmental Organizations|Legacy Depositors,,C(Br)(Br)Br
363898049,7845,Chemical Carcinogenesis Research Information System (CCRIS),106-99-0,"1,3-BUTADIENE",20210804,20180514,Governmental Organizations|Legacy Depositors,,C=CC=C
363898050,42094,Chemical Carcinogenesis Research Information System (CCRIS),56986-35-7,N-Butyl-N-(1-acetoxybutyl)nitrosamine,20210804,20180514,Governmental Organizations|Legacy Depositors,,CCCCN(C(CCC)OC(=O)C)N=O
363898051,42095,Chemical Carcinogenesis Research Information System (CCRIS),56986-36-8,N-Butyl-N-(acetoxymethyl)nitrosamine,20210804,20180514,Governmental Organizations|Legacy Depositors,,CCCCN(COC(=O)C)N=O
363898052,,Chemical Carcinogenesis Research Information System (CCRIS),25013-16-5,BUTYLATED HYDROXYANISOLE,20180514,20180514,Governmental Organizations|Legacy Depositors,,Nan
363898053,31404,Chemical Carcinogenesis Research Information System (CCRIS),128-37-0,Butylated hydroxytoluene,20210804,20180514,Governmental Organizations|Legacy Depositors,,CC1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C
363898054,2347,Chemical Carcinogenesis Research Information System (CCRIS),85-68-7,BUTYL BENZYL PHTHALATE,20210804,20180514,Governmental Organizations|Legacy Depositors,,CCCCOC(=O)C1=CC=CC=C1C(=O)OCC2=CC=CC=C2
363898055,35370,Chemical Carcinogenesis Research Information System (CCRIS),30516-87-1,Azidothymidine,20210804,20180514,Governmental Organizations|Legacy Depositors,,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)N=[N+]=[N-]
363898056,6554,Chemical Carcinogenesis Research Information System (CCRIS),78-76-2,SEC-BUTYL BROMIDE,20210804,20180514,Governmental Organizations|Legacy Depositors,,CCC(C)Br
363898057,10485,Chemical Carcinogenesis Research Information System (CCRIS),507-19-7,tert-Butyl bromide,20210804,20180514,Governmental Organizations|Legacy Depositors,,CC(C)(C)Br
363898058,149520,Chemical Carcinogenesis Research Information System (CCRIS),74940-23-1,N-Butyl-N-(1-hydroperoxybutyl)nitrosamine,20210804,20180514,Governmental Organizations|Legacy Depositors,,CCCCN(C(CCC)OO)N=O
363898059,51804,Chemical Carcinogenesis Research Information System (CCRIS),73487-24-8,4-(N-Butylnitrosamino)-4-hydroxybutyric acid lactone,20210804,20180514,Governmental Organizations|Legacy Depositors,,CCCCN(C1CCC(=O)O1)N=O
363898060,13362,Chemical Carcinogenesis Research Information System (CCRIS),869-01-2,N-Butyl-N-nitrosourea,20210804,20180514,Governmental Organizations|Legacy Depositors,,CCCCN(C(=O)N)N=O
363898061,18303,Chemical Carcinogenesis Research Information System (CCRIS),3068-88-0,beta-Butyrolactone,20210804,20180514,Governmental Organizations|Legacy Depositors,,CC1CC(=O)O1
363898062,23973,Chemical Carcinogenesis Research Information System (CCRIS),7440-43-9,Cadmium compounds,20190211,20180514,Governmental Organizations|Legacy Depositors,,[Cd]
363898063,17293,Chemical Carcinogenesis Research Information System (CCRIS),2519-30-4,C.I. FOOD BLACK 1,20210804,20180514,Governmental Organizations|Legacy Depositors,,CC(=O)NC1=C2C(=C(C=C1)S(=O)(=O)[O-])C=C(C(=C2O)N=NC3=C4C=C(C=CC4=C(C=C3)N=NC5=CC=C(C=C5)S(=O)(=O)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+]
363898064,24947,Chemical Carcinogenesis Research Information System (CCRIS),10108-64-2,CADMIUM CHLORIDE,20210804,20180514,Governmental Organizations|Legacy Depositors,,Cl[Cd]Cl
363898065,14782,Chemical Carcinogenesis Research Information System (CCRIS),1306-19-0,CADMIUM OXIDE,20210804,20180514,Governmental Organizations|Legacy Depositors,,O=[Cd]
363898066,24962,Chemical Carcinogenesis Research Information System (CCRIS),10124-36-4,Cadmium sulfate,20210804,20180514,Governmental Organizations|Legacy Depositors,,[O-]S(=O)(=O)[O-].[Cd+2]
363898067,14783,Chemical Carcinogenesis Research Information System (CCRIS),1306-23-6,CADMIUM SULFIDE,20210804,20180514,Governmental Organizations|Legacy Depositors,,S=[Cd]
363898068,,Chemical Carcinogenesis Research Information System (CCRIS),156-62-7,CALCIUM CYANAMIDE,20180514,20180514,Governmental Organizations|Legacy Depositors,,Nan
363898069,7768,Chemical Carcinogenesis Research Information System (CCRIS),105-60-2,CAPROLACTAM,20210804,20180514,Governmental Organizations|Legacy Depositors,,C1CCC(=O)NCC1
363898070,18594026,Chemical Carcinogenesis Research Information System (CCRIS),133-06-2,CAPTAN,20210804,20180514,Governmental Organizations|Legacy Depositors,,C1C=CCC2C1C(=O)N(C2=O)SC(Cl)(Cl)Cl
363898071,6854,Chemical Carcinogenesis Research Information System (CCRIS),86-74-8,CARBAZOLE,20210804,20180514,Governmental Organizations|Legacy Depositors,,C1=CC=C2C(=C1)C3=CC=CC=C3N2
363898072,150131,Chemical Carcinogenesis Research Information System (CCRIS),70103-85-4,70103-85-4,20210804,20180514,Governmental Organizations|Legacy Depositors,,CCCC(N(CCCC(=O)OC)N=O)OC(=O)C
363898073,5943,Chemical Carcinogenesis Research Information System (CCRIS),56-23-5,CARBON TETRACHLORIDE,20210804,20180514,Governmental Organizations|Legacy Depositors,,C(Cl)(Cl)(Cl)Cl
